N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7676,0,0.06347967367077367,0.09568135999999865,0.3737,0.1978,0.09295714285714023,0.07556048979591819,0.41845931101715833,2.6037270032931783
150000,5000,7890,0,0.12275481802949495,0.10276223999999884,0.3803,0.163,0.09594710204081411,0.06463591836734678,0.4766563581977589,2.8411329255732043
150000,5000,8806,0,0.14655077314999276,0.09253151999999855,0.3907,0.0979,0.09470424489795651,0.04304971428571361,0.3142144938227558,3.5446533570576015
150000,5000,10931,0,0.1310702130881628,0.0924623999999989,0.3577,0.14,0.08866702040816155,0.053399020408163335,0.4042115704397913,2.592426831716948
150000,5000,6271,0,0.07966944798316544,0.10435719999999829,0.4203,0.1925,0.10100065306122162,0.07691142857142852,0.2799205882334087,2.891201961804777
150000,5000,8369,0,0.23319683249206924,0.09249751999999861,0.375,0.0971,0.0919528979591813,0.023077224489796454,0.360349932547255,0.23595653287097085
150000,5000,5098,0,0.10058849993658303,0.10336727999999858,0.4202,0.159,0.09830604081632366,0.07063942857142841,0.17559182253145067,3.623580514248568
150000,5000,7456,0,0.21473426048569444,0.09767735999999926,0.4002,0.1487,0.1000162448979566,0.026270938775509477,0.43764941665900764,-0.763617495013302
150000,5000,9836,0,0.15279364351533775,0.09594983999999859,0.3657,0.0965,0.09480955102040602,0.046220571428570854,0.5909085707256866,4.1869487843052235
150000,5000,8427,0,0.1506047282985412,0.10155591999999801,0.4005,0.1523,0.09830938775509936,0.051631102040816404,0.36461958546353795,1.897624016393515
150000,5000,11426,0,0.15439442518189872,0.10020751999999825,0.4,0.1035,0.09711583673469136,0.049690204081631814,0.32067590701515153,4.2063782748839555
150000,5000,10993,0,0.18899653615304723,0.10073655999999832,0.4037,0.0954,0.09828457142856893,0.039138367346937986,0.33167363701457225,3.0617426901151985
150000,5000,10149,0,0.20591065769121286,0.10447367999999853,0.3861,0.1137,0.09831502040816051,0.03927632653061203,0.5151207140419782,2.0015847655399863
150000,5000,5201,0,0.12700561976740354,0.09695055999999874,0.4152,0.1544,0.09765461224489527,0.05254391836734759,0.1960826738968548,1.919009293220371
150000,5000,7593,0,0.28394828120923166,0.09543879999999852,0.4001,0.0388,0.09555975510203854,0.01089175510204079,0.2558386654558665,0.9362297463777862
150000,5000,5984,0,0.18678954260698044,0.09856735999999858,0.4139,0.1557,0.09508742857142577,0.03999297959183676,0.1063939059954635,0.5509311729486814
150000,5000,8584,0,0.12298962639948319,0.10283847999999866,0.4194,0.1534,0.10378244897958908,0.05684310204081635,0.39726576788764073,2.414799837486277
150000,5000,10421,0,0.31982794659669644,0.10403703999999839,0.3687,0.1002,0.09821199999999775,0.009018775510204129,0.7077581551980576,-2.1819664434491433
150000,5000,8403,0,0.188751779494837,0.0950535199999984,0.379,0.117,0.09148032653061015,0.03825575510204079,0.29740772553564016,1.6992165103842298
150000,5000,6205,0,0.10357242899491992,0.11139111999999785,0.4348,0.1802,0.10668865306122192,0.0742764897959183,0.3631234431867382,3.0983050778756036
150000,5000,8078,0,0.13332082921363353,0.09800503999999866,0.3951,0.1284,0.09675216326530368,0.053141714285714715,0.35498925033431117,3.1237241759465055
150000,5000,11684,0,0.1373641284613928,0.09409823999999865,0.3561,0.1242,0.09156473469387602,0.05117322448979666,0.5560507203551065,3.093088813440622
150000,5000,9913,0,0.14854139360923702,0.09833055999999828,0.3755,0.1393,0.09576604081632428,0.05002653061224538,0.5216725964746697,2.2270012680400675
150000,5000,8338,0,0.15762597432288716,0.10370031999999856,0.4065,0.1037,0.10273191836734441,0.048188081632653104,0.48373842120844796,3.954010606881782
150000,5000,5241,0,0.25116570462602184,0.09721015999999859,0.4174,0.1497,0.09958848979591577,0.016773877551020284,0.2517889011323415,-1.822944559380179
150000,5000,5630,0,0.08556776353608087,0.09726935999999861,0.4052,0.2224,0.09401044897958911,0.06985999999999964,0.1437317580574232,1.4905752738306972
150000,5000,8545,0,0.3386422147292778,0.09703199999999843,0.3951,0.0001,0.09586971428571192,7.836734693877551e-06,0.31832730772645085,-0.8719070794312416
150000,5000,7121,0,0.2020883181675499,0.10353375999999842,0.4044,0.1084,0.09948571428571185,0.03795975510203992,0.3735121153065441,2.0790129192804607
150000,5000,7746,0,0.1389327486661578,0.09652759999999863,0.3779,0.1526,0.09175412244897771,0.05420138775510099,0.32083175395930175,2.1628261967773557
150000,5000,10158,0,0.1252227561180772,0.10245407999999916,0.4211,0.1529,0.10059738775509906,0.05870351020408224,0.2567065291514499,2.6341164102151056
150000,5000,2780,0,0.07057262431716271,0.10120527999999825,0.4483,0.237,0.0996186938775478,0.07610587755101969,-0.017065299663435174,1.6056000918200166
150000,5000,9872,0,0.1296239205213634,0.1041303199999981,0.4069,0.1178,0.10053959183673221,0.059925387755102075,0.3912182352679906,4.676619494343944
150000,5000,9006,0,0.19695457086035018,0.10322647999999811,0.4088,0.1553,0.10036587755101793,0.038144897959183875,0.36539316092339286,0.36668355355672916
150000,5000,9591,0,0.21179210938676107,0.10458591999999901,0.3766,0.1419,0.09713077551020223,0.038924653061223995,0.5689283413006542,0.8368616640874147
150000,5000,9494,0,0.3294312078226175,0.0973179999999979,0.4083,0.0002,0.09813167346938487,4.326530612244898e-05,0.28050501838678343,-0.05535825092045173
150000,5000,7269,0,0.08507343568318892,0.09866583999999858,0.4112,0.1585,0.09854546938775226,0.06784326530612292,0.2692013083093624,3.3573078979729036
150000,5000,4592,0,0.05248208092994744,0.10459103999999846,0.4305,0.2249,0.10308261224489532,0.08523771428571346,0.2658487707782675,2.5549944803069535
150000,5000,10804,0,0.25528906077806324,0.0994513599999988,0.3718,0.0884,0.09293999999999784,0.025060734693877408,0.4385654799317081,0.9860133837724765
150000,5000,9654,0,0.1927770512596394,0.1057971199999985,0.3962,0.0945,0.10029224489795655,0.042906122448979594,0.49049710752063097,3.7783849391766213
150000,5000,10991,0,0.2323360590655621,0.10144751999999893,0.3775,0.1232,0.09491322448979357,0.03147697959183702,0.46241522633676,0.5282779583227925
150000,5000,8033,0,0.12196531569022451,0.0990494399999991,0.3883,0.1922,0.09703657142856915,0.057992897959184025,0.43739863285726566,1.2870879998089462
150000,5000,8498,0,0.15439399015500543,0.11061167999999837,0.4258,0.1835,0.1046880816326505,0.05736040816326535,0.3711287913915518,1.465061557491314
150000,5000,10452,0,0.1159762062504357,0.10450991999999933,0.3986,0.1706,0.10183951020407885,0.06373616326530664,0.5291991182764904,2.465243149821763
150000,5000,11315,0,0.18839598503928146,0.10575943999999854,0.3962,0.1056,0.10020122448979352,0.04425363265306165,0.4867260931443393,3.2070781752124122
150000,5000,10405,0,0.1660632151802789,0.10096847999999826,0.3893,0.1059,0.09536644897958921,0.049053387755102616,0.3564434309726131,3.929982353428422
150000,5000,8807,0,0.15591593698048867,0.09545143999999893,0.3796,0.1197,0.09317632653060995,0.04622661224489753,0.3644819986843559,2.6694995386475395
150000,5000,7330,0,0.16007700967508076,0.09618015999999836,0.3933,0.165,0.0977248979591815,0.041548489795919505,0.4139820819600121,0.4681920834436905
150000,5000,6151,0,0.12690407309391882,0.09844287999999807,0.4046,0.1248,0.09657836734693613,0.05596359183673462,0.25356223500938546,3.689627023039118
150000,5000,9777,0,0.18395920927210685,0.0959521599999992,0.3597,0.1072,0.09080628571428379,0.041463265306122966,0.4792078879014413,2.6784429241074883
150000,5000,6350,0,0.12124855901111598,0.09942663999999875,0.3953,0.1604,0.0969775510204058,0.05886889795918344,0.36231483630820704,2.356953980362967
150000,5000,11467,0,0.1545217179711582,0.09823151999999895,0.3831,0.0993,0.09779363265305861,0.04608000000000113,0.5255083767823382,3.943004679047498
150000,5000,8223,0,0.19964216119292677,0.09801239999999856,0.3948,0.1547,0.09622473469387526,0.03455591836734651,0.33611444633758925,0.0019649558891322227
150000,5000,8727,0,0.25850844222006975,0.10036231999999841,0.3827,0.1036,0.09286367346938557,0.02539983673469386,0.3184380656281486,0.358959569520799
150000,5000,10189,0,0.31326019075460254,0.09728519999999848,0.4025,0.0364,0.09767861224489566,0.004067591836734695,0.31887498814284865,-1.8158223265016107
150000,5000,8577,0,0.1306799877618664,0.09685479999999874,0.3726,0.1514,0.09254146938775308,0.056391591836735276,0.41220058846310803,2.4460901020941566
150000,5000,9814,0,0.13337240263617733,0.09755327999999912,0.3557,0.1222,0.0930119999999983,0.05617526530612254,0.6275779138051436,3.8741348992096736
150000,5000,3886,0,0.11992796349740875,0.101687679999998,0.4089,0.1698,0.09987918367346652,0.05993910204081662,0.344869468174754,2.1274145668331386
150000,5000,8867,0,0.15022108764825381,0.09668983999999854,0.3733,0.1131,0.09144742857142647,0.05142073469387752,0.3564520866955488,3.7905741963335737
150000,5000,7986,0,0.13497517366383227,0.10209127999999848,0.4327,0.1543,0.10216922448979317,0.05344914285714354,0.21121214328965873,2.0187994385555754
150000,5000,8342,0,0.12408878787760547,0.10030431999999892,0.4067,0.1276,0.09847689795918083,0.05784114285714272,0.3099589368499667,3.7697086405816047
150000,5000,6151,0,0.1946374029818312,0.10160607999999861,0.4136,0.16,0.09952897959183386,0.03746612244898048,0.28540914850892396,0.17886004078475837
150000,5000,5066,0,0.12920218809852002,0.09904935999999852,0.4169,0.1453,0.0977981224489769,0.05496808163265289,0.1859904018696285,2.541598879626729
150000,5000,6679,0,0.1667083991231053,0.09571895999999862,0.3935,0.1796,0.09349191836734443,0.04323771428571446,0.23533276383190993,0.28682290891508067
150000,5000,5603,0,0.06822944241027873,0.09604279999999922,0.3904,0.2274,0.0948088979591814,0.07273910204081609,0.3216719755523204,1.585019651155316
150000,5000,6938,0,0.13104917688469164,0.10138015999999875,0.4094,0.1413,0.09854734693877285,0.05722726530612275,0.28657197389598177,2.9790375809249174
150000,5000,8876,0,0.34318814725365676,0.10339655999999815,0.4024,0.0141,0.10053232653060966,0.0005884081632653066,0.4362752936325364,-2.9160987137140513
150000,5000,8965,0,0.14677926217955028,0.10377991999999925,0.3795,0.1559,0.09653257142856947,0.05789502040816335,0.5107080064432217,2.4280816333595863
150000,5000,6648,0,0.10172142028032416,0.10207503999999838,0.4142,0.1644,0.09997918367346653,0.0664727346938779,0.29752952468761584,2.969003348823497
150000,5000,5762,0,0.09673359786654567,0.10019295999999868,0.4018,0.1805,0.09816734693877309,0.06686987755102022,0.34578106452329643,2.4141731926806167
150000,5000,5837,0,0.13156327519670086,0.09880903999999861,0.4115,0.1217,0.09837738775509977,0.05328783673469402,0.2596284642703731,3.5162978410297487
150000,5000,7196,0,0.25906322609474797,0.10789367999999852,0.4065,0.1629,0.09954775510203828,0.027439346938774763,0.35515718274219515,-0.8986622911231025
150000,5000,4023,0,0.13914765344020574,0.10655823999999754,0.4484,0.164,0.10436824489795633,0.05668359183673541,0.15600608037905697,2.0064905282662515
150000,5000,8084,0,0.09595329115323392,0.09847255999999839,0.3926,0.1658,0.09627297959183415,0.0661861224489793,0.3605488424022347,2.8847293132882164
150000,5000,7454,0,0.17364900717736642,0.10291799999999862,0.408,0.1192,0.10066212244897704,0.044264326530613164,0.38521367883988245,2.4262974389681715
150000,5000,8330,0,0.09991091124863583,0.10279527999999868,0.4042,0.153,0.10112261224489558,0.06711812244897963,0.4419862969600194,3.5316107890450454
150000,5000,11110,0,0.23666908079375915,0.10204287999999916,0.3573,0.1125,0.09393738775510008,0.03203404081632666,0.650870677451144,1.0073306661209291
150000,5000,8321,0,0.13267802438131537,0.1022039199999989,0.4181,0.184,0.10147444897958913,0.05504612244897985,0.31927839120858054,1.2448730598568942
150000,5000,7480,0,0.15265647617675848,0.0988103199999985,0.3941,0.1013,0.09455379591836506,0.05072155102040756,0.27362379782710733,4.543568147706422
150000,5000,12045,0,0.16030834391791282,0.10359847999999897,0.3877,0.11499999999999998,0.09730971428571246,0.05263453061224608,0.4553105796784407,3.840605577873656
150000,5000,8894,0,0.24732619669897382,0.09703023999999859,0.3919,0.0556,0.09736857142856933,0.01973330612244897,0.41362641508819986,2.150508707187483
150000,5000,7707,0,0.15387207138563042,0.10050399999999865,0.3882,0.1067,0.09861224489795672,0.04878579591836683,0.5050802202016246,3.8321134945594286
150000,5000,5651,0,0.1723634285742478,0.09713999999999813,0.4199,0.1861,0.09614016326530327,0.04101289795918263,0.09366313896588985,-0.04711499016462722
150000,5000,9672,0,0.2853309818772557,0.10337143999999852,0.3962,0.1018,0.09757436734693622,0.017378693877550856,0.37789428003671227,-0.860406477279413
150000,5000,10327,0,0.10950101547029445,0.09526831999999967,0.3805,0.1509,0.09321502040816128,0.05971200000000007,0.3566220640064177,2.8270184476254583
